EnsembleID,symbol,log2FoldChange,pvalue,padj,Regulation
ENSG00000000971.11,CFH,1.75271502531105,6.71126086590275e-10,1.90403216101627e-07,Upregulated
ENSG00000110077.10,MS4A6A,2.050830778077,6.70399239818524e-10,1.90403216101627e-07,Upregulated
ENSG00000152049.5,KCNE4,1.95596174376551,6.64567733558837e-10,1.90403216101627e-07,Upregulated
ENSG00000126804.9,ZBTB1,0.655641614641978,7.08289112428553e-10,1.98937163007808e-07,Upregulated
ENSG00000187554.7,TLR5,1.31790707999619,7.67232678616439e-10,2.13359051923762e-07,Upregulated
ENSG00000165029.11,ABCA1,1.21561927783623,9.58311122449817e-10,2.63883181335765e-07,Upregulated
ENSG00000144909.7,OSBPL11,0.828591349387248,1.02787152818681e-09,2.79462398022393e-07,Upregulated
ENSG00000173068.13,BNC2,1.98766839300488,1.0347879586402602e-09,2.79462398022393e-07,Upregulated
ENSG00000101916.11,TLR8,2.27802162967137,1.0909361101033901e-09,2.91820214518798e-07,Upregulated
ENSG00000257894.1,RP1-78O14.1,2.65295178149383,1.3621992719793201e-09,3.60944254264934e-07,Upregulated
ENSG00000080546.9,SESN1,0.60785788155579,1.40455825078071e-09,3.68689977473623e-07,Upregulated
ENSG00000169413.2,RNASE6,1.65945074959288,1.5993454731936901e-09,4.08371057323557e-07,Upregulated
ENSG00000175895.3,PLEKHF2,0.821858506905928,1.5936068393941502e-09,4.08371057323557e-07,Upregulated
ENSG00000145390.7,USP53,1.01599484134762,1.6255005272196802e-09,4.11310209982156e-07,Upregulated
ENSG00000183748.4,MRC1L1,2.06082706449637,1.6888661576897202e-09,4.2128612861093e-07,Upregulated
ENSG00000137198.5,GMPR,1.38545736611216,1.88291516229429e-09,4.59873375333563e-07,Upregulated
ENSG00000184302.6,SIX6,2.78930164210001,1.91386298826722e-09,4.63402325443633e-07,Upregulated
ENSG00000116962.10,NID1,1.50066341983778,1.93357418859438e-09,4.64072076718086e-07,Upregulated
ENSG00000236753.1,AC018642.1,0.764269465102161,1.94967440640631e-09,4.64072076718086e-07,Upregulated
ENSG00000214353.3,VAC14-AS1,1.27323886961151,2.0399231219245e-09,4.7952052528049e-07,Upregulated
ENSG00000187193.8,MT1X,1.5140125111801,2.15780665991726e-09,4.96773079156525e-07,Upregulated
ENSG00000057294.9,PKP2,1.53627729883132,2.18369147652254e-09,4.98645060984461e-07,Upregulated
ENSG00000168079.12,SCARA5,2.05259915616919,2.21965579502024e-09,5.02769938022045e-07,Upregulated
ENSG00000165030.3,NFIL3,0.958911718163302,2.29655229936708e-09,5.16026115458584e-07,Upregulated
